'id_car_characteristic_value','id_car_modification','id_car_characteristic','value','unit','date_create','date_update','id_car_type'
'35399815','200467','2','Седан',NULL,'1487723789','1487723789','1'
'35399816','200468','2','Седан',NULL,'1487723790','1487723790','1'
'35399817','200469','2','Седан',NULL,'1487723790','1487723790','1'
'35399818','200470','2','Седан',NULL,'1487723790','1487723790','1'
'35399819','200471','2','Седан',NULL,'1487723790','1487723790','1'
'35399820','200472','2','Седан',NULL,'1487723790','1487723790','1'
'35399821','200473','2','Седан',NULL,'1487723791','1487723791','1'
'35399822','200474','2','Седан',NULL,'1487723791','1487723791','1'
'35399823','200475','2','Седан',NULL,'1487723794','1487723794','1'
'35399824','200476','2','Седан',NULL,'1487723794','1487723794','1'
'35399825','200477','2','Седан',NULL,'1487723795','1487723795','1'
'35399826','200478','2','Седан',NULL,'1487723795','1487723795','1'
'35399827','200479','2','Седан',NULL,'1487723795','1487723795','1'
'35399828','200480','2','Седан',NULL,'1487723795','1487723795','1'
'35399829','200481','2','Седан',NULL,'1487723795','1487723795','1'
'35399830','200482','2','Седан',NULL,'1487723795','1487723795','1'
'35399831','200483','2','Седан',NULL,'1487723796','1487723796','1'
'35399832','200484','2','Седан',NULL,'1487723796','1487723796','1'
'35399833','200485','2','Седан',NULL,'1487723796','1487723796','1'
'35399834','200486','2','Седан',NULL,'1487723796','1487723796','1'
'35399835','200487','2','Седан',NULL,'1487723797','1487723797','1'
'35399836','200488','2','Седан',NULL,'1487723797','1487723797','1'
'35399837','200489','2','Купе',NULL,'1487723797','1487723797','1'
'35399838','200490','2','Купе',NULL,'1487723797','1487723797','1'
'35399839','200491','2','Купе',NULL,'1487723797','1487723797','1'
'35399840','200492','2','Купе',NULL,'1487723797','1487723797','1'
'35399841','200493','2','Купе',NULL,'1487723800','1487723800','1'
'35399842','200494','2','Купе',NULL,'1487723800','1487723800','1'